"response_id","prompt_id","entity","run_id","ranking_position","description_length_tokens","quality_flag","canonical_entity","ranking_position_filled","clean_flag","merge_source"
"P001__llama-small__run_2","P001","dar el jeld","run_2","1.0","200","ok","dar el jeld","1","flagged",""
"P001__llama-small__run_2","P001","la kasbah","run_2","2.0","46","ok","la kasbah","2","flagged",""
"P001__llama-small__run_2","P001","l'atelier","run_2","3.0","43","ok","l'atelier","3","clean",""
"P001__llama-small__run_2","P001","la terrasse","run_2","4.0","47","ok","la terrasse","4","clean",""
"P001__llama-small__run_4","P001","dar el jeld","run_4","1.0","200","ok","dar el jeld","1","flagged",""
"P001__llama-small__run_4","P001","la kasbah","run_4","2.0","46","ok","la kasbah","2","flagged",""
"P001__llama-small__run_4","P001","le pacha","run_4","3.0","53","ok","le pacha","3","flagged",""
"P001__llama-small__run_4","P001","le brik","run_4","5.0","228","ok","le brik","5","clean",""
"P001__llama-small__run_5","P001","dar el jeld","run_5","1.0","200","ok","dar el jeld","1","flagged",""
"P001__llama-small__run_5","P001","dar el annabi","run_5","2.0","49","ok","dar el annabi","2","clean",""
"P001__llama-small__run_5","P001","la kasbah","run_5","4.0","46","ok","la kasbah","4","flagged",""
"P001__llama-small__run_5","P001","le zitouna","run_5","5.0","92","ok","le zitouna","5","flagged",""
"P001__qwen-medium__run_1","P001","le carthage","run_1","1.0","972","ok","le carthage","1","clean",""
"P001__qwen-medium__run_1","P001","dar aziza","run_1","2.0","1321","ok","dar aziza","2","flagged",""
"P001__qwen-medium__run_1","P001","la maison des saveurs","run_1","3.0","1102","ok","la maison des saveurs","3","flagged",""
"P001__qwen-medium__run_1","P001","le bosphore","run_1","5.0","678","ok","le bosphore","5","clean",""
"P001__qwen-medium__run_2","P001","le dinar","run_2","1.0","898","ok","le dinar","1","clean",""
"P001__qwen-medium__run_2","P001","el mouradi","run_2","3.0","930","ok","el mouradi","3","clean",""
"P001__qwen-medium__run_2","P001","la maison de la tradition","run_2","4.0","518","ok","la maison de la tradition","4","flagged",""
"P001__qwen-medium__run_2","P001","le carthage","run_2","5.0","972","ok","le carthage","5","clean",""
"P001__qwen-medium__run_3","P001","dar el-andalous","run_3","1.0","937","ok","dar el-andalous","1","clean",""
"P001__qwen-medium__run_3","P001","la fontaine","run_3","2.0","782","ok","la fontaine","2","clean",""
"P001__qwen-medium__run_3","P001","le jardin","run_3","3.0","470","ok","le jardin","3","clean",""
"P001__qwen-medium__run_4","P001","chez hedi","run_4","1.0","1220","ok","chez hedi","1","clean",""
"P001__qwen-medium__run_4","P001","le bled","run_4","3.0","878","ok","le bled","3","clean",""
"P001__qwen-medium__run_4","P001","le ksar","run_4","6.0","422","ok","le ksar","6","clean",""
"P001__qwen-medium__run_4","P001","le jardin","run_4","7.0","470","ok","le jardin","7","clean",""
"P001__qwen-medium__run_5","P001","el mouradi","run_5","1.0","930","ok","el mouradi","1","clean",""
"P001__qwen-medium__run_5","P001","dar el jeld","run_5","2.0","200","ok","dar el jeld","2","flagged",""
"P001__qwen-medium__run_5","P001","la tonnelle","run_5","3.0","939","ok","la tonnelle","3","clean",""
"P001__qwen-medium__run_5","P001","le jardin de carthage","run_5","5.0","662","ok","le jardin de carthage","5","clean",""
"P001__qwen-medium__run_5","P001","le brik","run_5","7.0","228","ok","le brik","7","clean",""
"P001__llama-large__run_1","P001","le grand vefour","run_1","1.0","52","ok","le grand vefour","1","clean",""
"P001__llama-large__run_1","P001","le dar el jeld","run_1","2.0","60","ok","dar el jeld","2","flagged","le dar el jeld"
"P001__llama-large__run_1","P001","le café des nattes","run_1","3.0","54","ok","le café des nattes","3","clean",""
"P001__llama-large__run_1","P001","el menzah","run_1","4.0","61","ok","el menzah","4","clean",""
"P001__llama-large__run_2","P001","le grand vefour","run_2","1.0","52","ok","le grand vefour","1","clean",""
"P001__llama-large__run_2","P001","dar el jeld","run_2","2.0","200","ok","dar el jeld","2","flagged",""
"P001__llama-large__run_2","P001","le pacha","run_2","3.0","53","ok","le pacha","3","flagged",""
"P001__llama-large__run_2","P001","le café des nattes","run_2","4.0","54","ok","le café des nattes","4","clean",""
"P001__llama-large__run_2","P001","la maison arabe","run_2","5.0","139","ok","la maison arabe","5","flagged",""
"P001__llama-large__run_3","P001","le grand vefour","run_3","1.0","52","ok","le grand vefour","1","clean",""
"P001__llama-large__run_3","P001","dar el jeld","run_3","2.0","200","ok","dar el jeld","2","flagged",""
"P001__llama-large__run_3","P001","le pacha","run_3","3.0","53","ok","le pacha","3","flagged",""
"P001__llama-large__run_3","P001","la maison arabe","run_3","4.0","139","ok","la maison arabe","4","flagged",""
"P001__llama-large__run_3","P001","le restaurant de la kasbah","run_3","5.0","286","ok","le restaurant de la kasbah","5","flagged",""
"P001__llama-large__run_4","P001","le grand vefour","run_4","1.0","52","ok","le grand vefour","1","clean",""
"P001__llama-large__run_4","P001","la maison arabe","run_4","2.0","139","ok","la maison arabe","2","flagged",""
"P001__llama-large__run_4","P001","le dar el jeld","run_4","3.0","60","ok","dar el jeld","3","flagged","le dar el jeld"
"P001__llama-large__run_5","P001","dar el jeld","run_5","1.0","200","ok","dar el jeld","1","flagged",""
"P001__llama-large__run_5","P001","le grand vefour","run_5","2.0","52","ok","le grand vefour","2","clean",""
"P001__llama-large__run_5","P001","la mamma","run_5","3.0","46","ok","la mamma","3","flagged",""
"P001__llama-large__run_5","P001","el ali","run_5","5.0","109","ok","el ali","5","clean",""
"P002__llama-small__run_1","P002","la kasbah","run_1","1.0","90","ok","la kasbah","1","flagged",""
"P002__llama-small__run_1","P002","le café des nattes","run_1","2.0","105","ok","le café des nattes","2","clean",""
"P002__llama-small__run_1","P002","la ghriba","run_1","","118","ok","la ghriba","999","clean",""
"P002__llama-small__run_2","P002","la kasbah","run_2","2.0","90","ok","la kasbah","2","flagged",""
"P002__llama-small__run_2","P002","le café des nattes","run_2","3.0","105","ok","le café des nattes","3","clean",""
"P002__llama-small__run_3","P002","la kasbah","run_3","1.0","90","ok","la kasbah","1","flagged",""
"P002__llama-small__run_3","P002","la medina","run_3","2.0","86","ok","la medina","2","clean",""
"P002__llama-small__run_4","P002","dar el jeld","run_4","1.0","76","ok","dar el jeld","1","flagged",""
"P002__llama-small__run_4","P002","la kasbah","run_4","2.0","90","ok","la kasbah","2","flagged",""
"P002__llama-small__run_4","P002","zitouna café","run_4","3.0","74","ok","zitouna café","3","clean",""
"P002__llama-small__run_5","P002","dar el jeld","run_5","1.0","76","ok","dar el jeld","1","flagged",""
"P002__llama-small__run_5","P002","le belvédère","run_5","2.0","66","ok","le belvédère","2","clean",""
"P002__llama-small__run_5","P002","café des nattes","run_5","3.0","83","ok","café des nattes","3","clean",""
"P002__qwen-medium__run_1","P002","el mouradi","run_1","1.0","250","ok","el mouradi","1","clean",""
"P002__qwen-medium__run_1","P002","dar zaytouna","run_1","2.0","236","ok","dar zaytouna","2","clean",""
"P002__qwen-medium__run_1","P002","la tonnelle","run_1","3.0","386","ok","la tonnelle","3","clean",""
"P002__qwen-medium__run_2","P002","dar zaytouna","run_2","1.0","236","ok","dar zaytouna","1","clean",""
"P002__qwen-medium__run_2","P002","el mouradi","run_2","2.0","250","ok","el mouradi","2","clean",""
"P002__qwen-medium__run_2","P002","la maison des saveurs","run_2","3.0","421","ok","la maison des saveurs","3","flagged",""
"P002__qwen-medium__run_3","P002","le bosphore","run_3","2.0","122","ok","le bosphore","2","clean",""
"P002__qwen-medium__run_3","P002","chez ali","run_3","3.0","162","ok","chez ali","3","clean",""
"P002__qwen-medium__run_4","P002","dar jilani","run_4","2.0","208","ok","dar jilani","2","clean",""
"P002__qwen-medium__run_5","P002","dar el-andalous","run_5","1.0","192","ok","dar el-andalous","1","clean",""
"P002__qwen-medium__run_5","P002","le jardin","run_5","2.0","179","ok","le jardin","2","clean",""
"P002__llama-large__run_1","P002","le grand vefour","run_1","1.0","69","ok","le grand vefour","1","clean",""
"P002__llama-large__run_1","P002","dar el jeld","run_1","2.0","76","ok","dar el jeld","2","flagged",""
"P002__llama-large__run_1","P002","la maison de la medina","run_1","","0","ok","la maison de la medina","999","flagged",""
"P002__llama-large__run_2","P002","le grand vefour","run_2","1.0","69","ok","le grand vefour","1","clean",""
"P002__llama-large__run_2","P002","dar el jeld","run_2","2.0","76","ok","dar el jeld","2","flagged",""
"P002__llama-large__run_2","P002","le resto","run_2","3.0","170","ok","le rest'o","3","clean","le resto"
"P002__llama-large__run_3","P002","le grand vefour","run_3","1.0","69","ok","le grand vefour","1","clean",""
"P002__llama-large__run_3","P002","le dar el jeld","run_3","2.0","89","ok","dar el jeld","2","flagged","le dar el jeld"
"P002__llama-large__run_3","P002","el ali","run_3","","136","ok","el ali","999","clean",""
"P002__llama-large__run_4","P002","le grand vefour","run_4","1.0","69","ok","le grand vefour","1","clean",""
"P002__llama-large__run_4","P002","dar el jeld","run_4","2.0","76","ok","dar el jeld","2","flagged",""
"P002__llama-large__run_5","P002","le grand vefour","run_5","1.0","69","ok","le grand vefour","1","clean",""
"P002__llama-large__run_5","P002","dar el jeld","run_5","2.0","76","ok","dar el jeld","2","flagged",""
"P002__llama-large__run_5","P002","le rest'ô","run_5","3.0","152","ok","le rest'ô","3","clean",""
"P003__llama-small__run_1","P003","dar el jeld","run_1","1.0","256","ok","dar el jeld","1","flagged",""
"P003__llama-small__run_1","P003","la mer","run_1","3.0","53","ok","la mer","3","clean",""
"P003__llama-small__run_1","P003","le souk","run_1","4.0","53","ok","le souk","4","clean",""
