"entity","action","reason","phase"
"le cours","dropped","singleton","A"
"la cigale","dropped","singleton","A"
"le suffren","dropped","singleton","A"
"al hafsia","dropped","singleton","A"
"café du commerce","dropped","singleton","A"
"le café de la goutte d’or","dropped","singleton","A"
"dar essoummam","dropped","singleton","A"
"el-khemis","dropped","singleton","A"
"sousse street","dropped","singleton","A"
"dar mjoud","dropped","singleton","A"
"dar yacoub","dropped","singleton","A"
"la terrasse de l’hôtel du golf","dropped","singleton","A"
"chez mina","dropped","singleton","A"
"la taverne du bosphore","dropped","singleton","A"
"le dar slah","dropped","singleton","A"
"la table de tunis","dropped","singleton","A"
"le café de l'étoile","dropped","singleton","A"
"restaurant de la kasbah","dropped","singleton","A"
"le zitouna hotel restaurant","dropped","singleton","A"
"la marsa","dropped","singleton","A"
"dar essoukaina","dropped","singleton","A"
"chez bahia","dropped","singleton","A"
"el mouradi gammarth","dropped","singleton","A"
"la sqala","dropped","singleton","A"
"le rest'ô bar","dropped","singleton","A"
"la grande mosquée","dropped","singleton","A"
"al fennec","dropped","singleton","A"
"aladin","dropped","singleton","A"
"al-bahja","dropped","singleton","A"
"dar al-andalus","dropped","singleton","A"
"al-mahdia","dropped","singleton","A"
"dar el-bahr","dropped","singleton","A"
"dar al andalous","dropped","singleton","A"
"dar el bahja","dropped","singleton","A"
"le cours jilani","dropped","singleton","A"
"auberge ali","dropped","singleton","A"
"le jardin du sud","dropped","singleton","A"
"la maison de l'épice","dropped","singleton","A"
"el baccouche","dropped","singleton","A"
"la bougie","dropped","singleton","A"
"le restaurante el hana","dropped","singleton","A"
"le restaurante la bougainville","dropped","singleton","A"
"bled kerkenna","dropped","singleton","A"
"l'ambassade","dropped","singleton","A"
"le soleil","dropped","singleton","A"
"restaurant du rihane","dropped","singleton","A"
"restaurant de la plage de sakiet eddiar","dropped","singleton","A"
"restaurant du centre commercial sfax park","dropped","singleton","A"
"restaurant de la plage de kerkennah","dropped","singleton","A"
"restaurant de la medina de sfax","dropped","singleton","A"
"le mougard","dropped","singleton","A"
"le sfaxois","dropped","singleton","A"
"la calanque","dropped","singleton","A"
"restaurant le beach","dropped","singleton","A"
"la mer de sfax","dropped","singleton","A"
"le jardin de sfax","dropped","singleton","A"
"brik palace","dropped","singleton","A"
"le clos de la mer","dropped","singleton","A"
"chez ziad","dropped","singleton","A"
"dar al-andalous","dropped","singleton","A"
"la terrasse du palais des congrès","dropped","singleton","A"
"restaurant al manar","dropped","singleton","A"
"café el karam","dropped","singleton","A"
"restaurant el gueddari","dropped","singleton","A"
"sousse beach restaurant","dropped","singleton","A"
"le jardin des orangers","dropped","singleton","A"
"le riche","dropped","singleton","A"
"les jardins de sousse","dropped","singleton","A"
"le fish market","dropped","singleton","A"
"le restaurant el mansour","dropped","singleton","A"
"le restaurant la kasbah","dropped","singleton","A"
"le restaurant el fassi","dropped","singleton","A"
"le tournedos","dropped","singleton","A"
"la maison d'hôte","dropped","singleton","A"
"le sidi mahrez","dropped","singleton","A"
"le 19","dropped","singleton","A"
"el mouradi hammamet","dropped","singleton","A"
"le clos de la marine","dropped","singleton","A"
"le restaurant el karama","dropped","singleton","A"
"la maison de kheireddine","dropped","singleton","A"
"le msemmen","dropped","singleton","A"
"dar essouiri","dropped","singleton","A"
"el jem restaurant","dropped","singleton","A"
"restaurant du palais","dropped","singleton","A"
"chez said (dar said)","dropped","singleton","A"
"dar chedli","dropped","singleton","A"
"chez rahmat","dropped","singleton","A"
"le comptoir de l'espoir","dropped","singleton","A"
"chez béchir","dropped","singleton","A"
"le miroir de carthage","dropped","singleton","A"
"chez noureddine","dropped","singleton","A"
"la maison du couscous","dropped","singleton","A"
"le couscous center","dropped","singleton","A"
"mama's","dropped","singleton","A"
"le brik palace","dropped","singleton","A"
"la maison de la kasbah","dropped","singleton","A"
"le café du centre","dropped","singleton","A"
"le brik express","dropped","singleton","A"
"restaurant el hana","dropped","singleton","A"
"restaurant al ksar","dropped","singleton","A"
"al dar","dropped","singleton","A"
"bistro du forum","dropped","singleton","A"
"le grand café de la paix","dropped","singleton","A"
"la soukra","dropped","singleton","A"
"brik en tunisie","dropped","singleton","A"
"le brik & co","dropped","singleton","A"
"chez amira","dropped","singleton","A"
"brik de carthage","dropped","singleton","A"
"brik el medina","dropped","singleton","A"
"brik el jazira","dropped","singleton","A"
"brik 70","dropped","singleton","A"
"le marché du brik","dropped","singleton","A"
"brik & co","dropped","singleton","A"
"le brik de la medina","dropped","singleton","A"
"souk el berberia","dropped","singleton","A"
"brik el mokhles","dropped","singleton","A"
"dar hana","dropped","singleton","A"
"brik el mida","dropped","singleton","A"
"le rami","dropped","singleton","A"
"le restaurant el mouradi","dropped","singleton","A"
"le marché central","dropped","singleton","A"
"la maison de la brik","dropped","singleton","A"
"le jardin de l'europe","dropped","singleton","A"
"el andalou","dropped","singleton","A"
"dar zitouni","dropped","singleton","A"
"la maison de l'espoir","dropped","singleton","A"
"dar el-kasr","dropped","singleton","A"
"le riad de sousse","dropped","singleton","A"
"dar chaabane","dropped","singleton","A"
"restaurant el jem","dropped","singleton","A"
"le djerbi","dropped","singleton","A"
"grand restaurant","dropped","singleton","A"
"l'aziza","dropped","singleton","A"
"sfaxi","dropped","singleton","A"
"el khayami","dropped","singleton","A"
"dar yaacoub","dropped","singleton","A"
"dar essoukni","dropped","singleton","A"
"la terrasse de la medina","dropped","singleton","A"
"dar hussein","dropped","singleton","A"
"le dar el annabi","dropped","singleton","A"
"el aouzou","dropped","singleton","A"
"la friterie el aouzou","dropped","singleton","A"
"la friterie la kasbah","dropped","singleton","A"
"dar hicham","dropped","singleton","A"
"hostel de l’olivier","dropped","singleton","A"
"le jardin des dunes","dropped","singleton","A"
"grand marché de tunis","dropped","singleton","A"
"souk el-khadra","dropped","singleton","A"
"la table de l'est","dropped","singleton","A"
"dar el jemaa","dropped","singleton","A"
"la maison de la chakchouka","dropped","singleton","A"
"restaurant el mourouj","dropped","singleton","A"
"chez mme fatma","dropped","singleton","A"
"dar jilane","dropped","singleton","A"
"la maison de chakchouka","dropped","singleton","A"
"chez sassi","dropped","singleton","A"
"les petits pains de sami","dropped","singleton","A"
"m'rabet","dropped","singleton","A"
"le grand café de la medina","dropped","singleton","A"
"le bistro des artistes","dropped","singleton","A"
"la sfera","dropped","singleton","A"
"le relais de la marine","dropped","singleton","A"
"le cours de la corniche","dropped","singleton","A"
"la bourse de la mer","dropped","singleton","A"
"le marché de la corniche","dropped","singleton","A"
