"response_id","prompt_id","entity","run_id","ranking_position","description_length_tokens"
"P001__llama-small__run_2","P001","dar el jeld","run_2","1.0","200"
"P001__llama-small__run_2","P001","la kasbah","run_2","2.0","46"
"P001__llama-small__run_2","P001","l'atelier","run_2","3.0","43"
"P001__llama-small__run_2","P001","la terrasse","run_2","4.0","47"
"P001__llama-small__run_2","P001","le cours","run_2","5.0","87"
"P001__llama-small__run_4","P001","dar el jeld","run_4","1.0","200"
"P001__llama-small__run_4","P001","la kasbah","run_4","2.0","46"
"P001__llama-small__run_4","P001","le pacha","run_4","3.0","53"
"P001__llama-small__run_4","P001","la cigale","run_4","4.0","54"
"P001__llama-small__run_4","P001","le brik","run_4","5.0","228"
"P001__llama-small__run_5","P001","dar el jeld","run_5","1.0","200"
"P001__llama-small__run_5","P001","dar el annabi","run_5","2.0","49"
"P001__llama-small__run_5","P001","le suffren","run_5","3.0","58"
"P001__llama-small__run_5","P001","la kasbah","run_5","4.0","46"
"P001__llama-small__run_5","P001","le zitouna","run_5","5.0","92"
"P001__qwen-medium__run_1","P001","le carthage","run_1","1.0","972"
"P001__qwen-medium__run_1","P001","dar aziza","run_1","2.0","1321"
"P001__qwen-medium__run_1","P001","la maison des saveurs","run_1","3.0","1102"
"P001__qwen-medium__run_1","P001","al hafsia","run_1","4.0","889"
"P001__qwen-medium__run_1","P001","le bosphore","run_1","5.0","678"
"P001__qwen-medium__run_1","P001","café du commerce","run_1","6.0","388"
"P001__qwen-medium__run_1","P001","le café de la goutte d’or","run_1","7.0","388"
"P001__qwen-medium__run_2","P001","le dinar","run_2","1.0","898"
"P001__qwen-medium__run_2","P001","dar essoummam","run_2","2.0","770"
"P001__qwen-medium__run_2","P001","el mouradi","run_2","3.0","930"
"P001__qwen-medium__run_2","P001","la maison de la tradition","run_2","4.0","518"
"P001__qwen-medium__run_2","P001","le carthage","run_2","5.0","972"
"P001__qwen-medium__run_3","P001","dar el-andalous","run_3","1.0","937"
"P001__qwen-medium__run_3","P001","la fontaine","run_3","2.0","782"
"P001__qwen-medium__run_3","P001","le jardin","run_3","3.0","470"
"P001__qwen-medium__run_3","P001","el-khemis","run_3","4.0","530"
"P001__qwen-medium__run_3","P001","sousse street","run_3","5.0","397"
"P001__qwen-medium__run_4","P001","chez hedi","run_4","1.0","1220"
"P001__qwen-medium__run_4","P001","dar mjoud","run_4","2.0","1053"
"P001__qwen-medium__run_4","P001","le bled","run_4","3.0","878"
"P001__qwen-medium__run_4","P001","dar yacoub","run_4","4.0","729"
"P001__qwen-medium__run_4","P001","la terrasse de l’hôtel du golf","run_4","5.0","567"
"P001__qwen-medium__run_4","P001","le ksar","run_4","6.0","422"
"P001__qwen-medium__run_4","P001","le jardin","run_4","7.0","470"
"P001__qwen-medium__run_5","P001","el mouradi","run_5","1.0","930"
"P001__qwen-medium__run_5","P001","dar el jeld","run_5","2.0","200"
"P001__qwen-medium__run_5","P001","la tonnelle","run_5","3.0","939"
"P001__qwen-medium__run_5","P001","chez mina","run_5","4.0","803"
"P001__qwen-medium__run_5","P001","le jardin de carthage","run_5","5.0","662"
"P001__qwen-medium__run_5","P001","la taverne du bosphore","run_5","6.0","533"
"P001__qwen-medium__run_5","P001","le brik","run_5","7.0","228"
"P001__llama-large__run_1","P001","le grand vefour","run_1","1.0","52"
"P001__llama-large__run_1","P001","le dar el jeld","run_1","2.0","60"
"P001__llama-large__run_1","P001","le café des nattes","run_1","3.0","54"
"P001__llama-large__run_1","P001","el menzah","run_1","4.0","61"
"P001__llama-large__run_1","P001","le dar slah","run_1","5.0","230"
"P001__llama-large__run_2","P001","le grand vefour","run_2","1.0","52"
"P001__llama-large__run_2","P001","dar el jeld","run_2","2.0","200"
"P001__llama-large__run_2","P001","le pacha","run_2","3.0","53"
"P001__llama-large__run_2","P001","le café des nattes","run_2","4.0","54"
"P001__llama-large__run_2","P001","la maison arabe","run_2","5.0","139"
"P001__llama-large__run_3","P001","le grand vefour","run_3","1.0","52"
"P001__llama-large__run_3","P001","dar el jeld","run_3","2.0","200"
"P001__llama-large__run_3","P001","le pacha","run_3","3.0","53"
"P001__llama-large__run_3","P001","la maison arabe","run_3","4.0","139"
"P001__llama-large__run_3","P001","le restaurant de la kasbah","run_3","5.0","286"
"P001__llama-large__run_4","P001","le grand vefour","run_4","1.0","52"
"P001__llama-large__run_4","P001","la maison arabe","run_4","2.0","139"
"P001__llama-large__run_4","P001","le dar el jeld","run_4","3.0","60"
"P001__llama-large__run_4","P001","la table de tunis","run_4","4.0","48"
"P001__llama-large__run_4","P001","le café de l'étoile","run_4","5.0","261"
"P001__llama-large__run_5","P001","dar el jeld","run_5","1.0","200"
"P001__llama-large__run_5","P001","le grand vefour","run_5","2.0","52"
"P001__llama-large__run_5","P001","la mamma","run_5","3.0","46"
"P001__llama-large__run_5","P001","restaurant de la kasbah","run_5","","62"
"P001__llama-large__run_5","P001","el ali","run_5","5.0","109"
"P002__llama-small__run_1","P002","la kasbah","run_1","1.0","90"
"P002__llama-small__run_1","P002","le café des nattes","run_1","2.0","105"
"P002__llama-small__run_1","P002","la ghriba","run_1","","118"
"P002__llama-small__run_2","P002","le zitouna hotel restaurant","run_2","1.0","81"
"P002__llama-small__run_2","P002","la kasbah","run_2","2.0","90"
"P002__llama-small__run_2","P002","le café des nattes","run_2","3.0","105"
"P002__llama-small__run_3","P002","la kasbah","run_3","1.0","90"
"P002__llama-small__run_3","P002","la medina","run_3","2.0","86"
"P002__llama-small__run_3","P002","la marsa","run_3","3.0","124"
"P002__llama-small__run_4","P002","dar el jeld","run_4","1.0","76"
"P002__llama-small__run_4","P002","la kasbah","run_4","2.0","90"
