"canonical_entity","mention_count","mention_rate","average_ranking_position","rank_variance","top1_rate","mention_prominence","frequency_across_runs","stability_score","consistency_label","avg_description_length","model_presence_count","cross_model_rate","prompt_type_response","co_mention_rate"
"dar el jeld","159","0.4066","2.013","1.3338","0.4591","0.8239","5","0.1742","unstable","276.6","3","1.0","{""top_recommendation"": 0.5143, ""cuisine_authentique"": 0.4085, ""localisation"": 0.4925, ""occasion_speciale"": 0.2727, ""comparatif"": 0.3134, ""avis_touristes"": 0.4098}","{""el menzah"": 0.0189, ""le grand vefour"": 0.2327, ""le café des nattes"": 0.0692, ""la maison arabe"": 0.1635, ""le pacha"": 0.0377, ""le restaurant de la kasbah"": 0.0126, ""la mamma"": 0.0252, ""el ali"": 0.0503, ""l'atelier"": 0.0126, ""la terrasse"": 0.0629, ""la kasbah"": 0.2327, ""le brik"": 0.0126, ""le zitouna"": 0.0252, ""dar el annabi"": 0.0063, ""la tonnelle"": 0.0126, ""el mouradi"": 0.0755, ""le jardin de carthage"": 0.0314, ""la maison de la medina"": 0.0377, ""le rest'o"": 0.0314, ""le rest'ô"": 0.0126, ""zitouna café"": 0.0126, ""le belvédère"": 0.0063, ""café des nattes"": 0.0629, ""el mansour"": 0.0189, ""la medina"": 0.0818, ""le pirate"": 0.0818, ""le baron"": 0.0063, ""la maison blanche"": 0.0755, ""el farouk"": 0.0252, ""le souk"": 0.0252, ""la mer"": 0.0126, ""le relais de la medina"": 0.0063, ""chez ali"": 0.0629, ""la maison de la couscous"": 0.0189, ""le jardin"": 0.0503, ""du port"": 0.0063, ""la rotonde"": 0.0063, ""el ksar"": 0.0189, ""le port"": 0.0063, ""café des arts"": 0.0377, ""dar el khemis"": 0.0126, ""souk el attarine"": 0.0063, ""la perle"": 0.0252, ""le grand bleu"": 0.0189, ""le petit château"": 0.0189, ""restaurant de la médina"": 0.0063, ""le calypso"": 0.0314, ""le calife"": 0.0126, ""restaurant el mouradi"": 0.0314, ""le restaurant de la medina"": 0.0189, ""le jardin de l'atlas"": 0.0063, ""le jardin de l'oasis"": 0.0063, ""le cap"": 0.0063, ""sousse restaurant"": 0.0063, ""le café de la kasbah"": 0.0126, ""le café de paris"": 0.0189, ""le couscous de la medina"": 0.0126, ""le restaurant el ali"": 0.0252, ""le dar el hana"": 0.0063, ""la maison de la tradition"": 0.0063, ""café de paris"": 0.0377, ""le trianon"": 0.0126, ""el hana"": 0.0063, ""el farah"": 0.0126, ""le petit châtelet"": 0.0314, ""le jardin de la kasbah"": 0.0063, ""el khayam"": 0.0063, ""le jardin de sousse"": 0.0126, ""le bistro du coin"": 0.0063, ""le ksar"": 0.0063, ""dar zarrouk"": 0.0189, ""la maison du pain"": 0.0063, ""le grand café de la marsa"": 0.0063, ""le bistrot de la marsa"": 0.0063, ""la villa bleue"": 0.0252, ""la maison de la mer"": 0.0252, ""la table de la marsa"": 0.0063, ""le jardin de marsa"": 0.0063, ""café de la plage"": 0.0126, ""le cafe des nattes"": 0.0189, ""le bistrot"": 0.0063, ""la grotte"": 0.0252, ""la maison de la médina"": 0.0126, ""le relais"": 0.0252, ""la villa"": 0.0189, ""la marine"": 0.0126, ""le clos de sousse"": 0.0063, ""green garden"": 0.0063, ""dar essalam"": 0.0063, ""le café des nuits"": 0.0063, ""la maison des saveurs"": 0.0189, ""la terrasse du port"": 0.0063, ""le jardin des sens"": 0.0189, ""le bistrot de la mer"": 0.0189, ""la table du marché"": 0.0126, ""chez sami"": 0.0063, ""le clos des sables"": 0.0063, ""al fassia"": 0.0063, ""le café de la médina"": 0.0063, ""dar slah"": 0.0252, ""le bardo"": 0.0126, ""dar belhadj"": 0.0126, ""la mammounia"": 0.0063, ""la zalabia"": 0.0063, ""café mabrouk"": 0.0126, ""chez hedi"": 0.0063, ""le jardin de la medina"": 0.0126, ""el bahri"": 0.0063, ""la maison de l'artisan"": 0.0063, ""café de france"": 0.0063, ""dar jellouli"": 0.0063, ""la fontaine"": 0.0063, ""le souk des épices"": 0.0063, ""café de la poste"": 0.0063, ""le jardin de sidi bou said"": 0.0063, ""pâtisserie el hana"": 0.0126, ""café de la medina"": 0.0063, ""le patio"": 0.0126, ""la villa didon"": 0.0314, ""le grand café de la gare"": 0.0126, ""le restaurant le corail"": 0.0063, ""le restaurant de la médina"": 0.0063, ""le phare"": 0.0126, ""le grand café de tunis"": 0.0063, ""le sultan"": 0.0063, ""café des sports"": 0.0063, ""la table de sousse"": 0.0063, ""le ciel"": 0.0063, ""le bistrot du port"": 0.0252, ""le sindbad"": 0.0063, ""la ghriba"": 0.0063, ""la belle époque"": 0.0063, ""le bosphore"": 0.0063, ""le grand restaurant"": 0.0063, ""restaurant le baron"": 0.0126, ""le grand café du théâtre"": 0.0126, ""dar baaziz"": 0.0126, ""le bistrot de la médina"": 0.0063, ""le restaurant de la plage"": 0.0063, ""le belvedere"": 0.0063, ""le soummam"": 0.0063, ""café de la paix"": 0.0063, ""le restaurant le pirate"": 0.0063, ""café m'rabet"": 0.0126, ""la zalagh"": 0.0126, ""le grand hotel sousse"": 0.0063, ""la casa"": 0.0063, ""le corsaire"": 0.0063, ""le golfe"": 0.0063, ""la médina"": 0.0063, ""le jardin de la médina"": 0.0063, ""la maison de la photographie"": 0.0063, ""al bahja"": 0.0063}"
"la kasbah","68","0.1739","3.0923","1.5857","0.1324","0.5441","5","0.0673","unstable","85.5","2","0.6667","{""top_recommendation"": 0.2429, ""cuisine_authentique"": 0.2113, ""localisation"": 0.1791, ""occasion_speciale"": 0.1455, ""comparatif"": 0.1343, ""avis_touristes"": 0.1148}","{""l'atelier"": 0.0294, ""la terrasse"": 0.1029, ""dar el jeld"": 0.5441, ""le brik"": 0.0294, ""le pacha"": 0.0588, ""le zitouna"": 0.0735, ""dar el annabi"": 0.0294, ""la ghriba"": 0.0294, ""le café des nattes"": 0.0882, ""la medina"": 0.2059, ""zitouna café"": 0.0294, ""la maison blanche"": 0.0882, ""el mouradi"": 0.0882, ""le relais de la medina"": 0.0294, ""le petit chateau"": 0.0147, ""el mansour"": 0.0441, ""la belle epoque"": 0.0147, ""la maison arabe"": 0.1029, ""le corsaire"": 0.0147, ""el fell"": 0.0147, ""le port"": 0.0147, ""le café de la plage"": 0.0147, ""dar el jaziri"": 0.0147, ""le poisson d'or"": 0.0147, ""el hana"": 0.0441, ""le corail"": 0.0147, ""le bled"": 0.0147, ""le cap"": 0.0147, ""le grand vefour"": 0.1324, ""le dar el hana"": 0.0294, ""dar el jedid"": 0.0147, ""la villa bleue"": 0.0441, ""le café de la kasbah"": 0.0147, ""café des nattes"": 0.0588, ""le central"": 0.0147, ""la maison du brik"": 0.0147, ""le souk"": 0.0294, ""dar el jem"": 0.0147, ""el farah"": 0.0147, ""le petit châtelet"": 0.0441, ""le jardin de la kasbah"": 0.0294, ""al bahja"": 0.0147, ""café de la paix"": 0.0147, ""la maison de la mer"": 0.0294, ""du port"": 0.0147, ""le ksar"": 0.0147, ""le cafe des nattes"": 0.0294, ""el farouk"": 0.0588, ""le pirate"": 0.1029, ""le bistrot"": 0.0147, ""la grotte"": 0.0147, ""la maison de la médina"": 0.0147, ""le relais"": 0.0294, ""la perle"": 0.0147, ""le café de la médina"": 0.0147, ""dar slah"": 0.0147, ""dar zarrouk"": 0.0147, ""la zalabia"": 0.0147, ""café des arts"": 0.0294, ""café mabrouk"": 0.0294, ""chez hedi"": 0.0147, ""le patio"": 0.0294, ""el ksar"": 0.0147, ""le bardo"": 0.0147, ""la médina"": 0.0147, ""le baron"": 0.0147, ""le grand hotel sousse"": 0.0147, ""le bistrot de la mer"": 0.0147, ""le bistrot de la médina"": 0.0147, ""le restaurant de la plage"": 0.0294, ""le restaurant de la medina"": 0.0147, ""la mamma"": 0.0147, ""le bosphore"": 0.0147, ""dar el fell"": 0.0147, ""le grand cafe"": 0.0147, ""la maison de la medina"": 0.0147, ""la zalagh"": 0.0147}"
"la maison arabe","47","0.1202","3.2128","1.2706","0.0213","0.5957","5","0.0529","unstable","90.4","2","0.6667","{""top_recommendation"": 0.1429, ""cuisine_authentique"": 0.1127, ""localisation"": 0.0896, ""occasion_speciale"": 0.1273, ""comparatif"": 0.1642, ""avis_touristes"": 0.082}","{""dar el jeld"": 0.5532, ""le pacha"": 0.0638, ""le grand vefour"": 0.3191, ""le café des nattes"": 0.1277, ""le restaurant de la kasbah"": 0.0213, ""el mansour"": 0.0426, ""la medina"": 0.1277, ""le pirate"": 0.1702, ""le petit chateau"": 0.0213, ""la kasbah"": 0.1489, ""la belle epoque"": 0.0213, ""le corsaire"": 0.0213, ""le grand bleu"": 0.1277, ""le petit château"": 0.1277, ""restaurant de la médina"": 0.0213, ""le calypso"": 0.1064, ""le calife"": 0.0426, ""restaurant el mouradi"": 0.0213, ""le restaurant de la medina"": 0.0851, ""el fell"": 0.0213, ""dar el fell"": 0.0426, ""le café de la kasbah"": 0.0213, ""el menzah"": 0.0426, ""le café de paris"": 0.0213, ""el ali"": 0.0426, ""le couscous de la medina"": 0.0213, ""le restaurant el ali"": 0.0426, ""el hana"": 0.0426, ""el mouradi"": 0.0426, ""le souk"": 0.0213, ""dar el jem"": 0.0426, ""la villa bleue"": 0.0851, ""le bistrot de la marsa"": 0.0426, ""le café de la plage"": 0.0426, ""la table de la méditerranée"": 0.0426, ""le golfe"": 0.0213, ""le restaurant le corail"": 0.0213, ""la mer"": 0.0213, ""le cafe des nattes"": 0.0213, ""el farouk"": 0.0638, ""café des nattes"": 0.0213, ""pâtisserie el hana"": 0.0213, ""café de la medina"": 0.0213, ""le grand café de la gare"": 0.0213, ""café des arts"": 0.0213, ""le jardin de carthage"": 0.0213, ""le bistrot"": 0.0426, ""le restaurant de l'hôtel hasdrubal"": 0.0638, ""le rest'o"": 0.0213, ""le baron"": 0.0213, ""le grand hotel sousse"": 0.0213, ""le grand restaurant"": 0.0426, ""dar el medina"": 0.0213, ""le relais"": 0.0426, ""le café des nuits"": 0.0213, ""le grand café"": 0.0213, ""la terrasse"": 0.0213, ""le bosphore"": 0.0213, ""le petit châtelet"": 0.0213, ""le restaurant de la plage"": 0.0213}"
"le grand vefour","47","0.1202","1.8511","1.624","0.6596","0.8936","5","0.0458","unstable","61.1","2","0.6667","{""top_recommendation"": 0.1571, ""cuisine_authentique"": 0.1549, ""localisation"": 0.0746, ""occasion_speciale"": 0.0545, ""comparatif"": 0.1194, ""avis_touristes"": 0.1475}","{""dar el jeld"": 0.7872, ""el menzah"": 0.0638, ""le café des nattes"": 0.1702, ""la maison arabe"": 0.3191, ""le pacha"": 0.0851, ""le restaurant de la kasbah"": 0.0638, ""la mamma"": 0.0426, ""el ali"": 0.1489, ""la maison de la medina"": 0.0426, ""le rest'o"": 0.0851, ""le rest'ô"": 0.0426, ""la medina"": 0.1064, ""la kasbah"": 0.1915, ""le café de la kasbah"": 0.0426, ""le café de paris"": 0.0426, ""le couscous de la medina"": 0.0426, ""le restaurant el ali"": 0.0638, ""café des nattes"": 0.0638, ""le central"": 0.0213, ""la maison du brik"": 0.0213, ""el mouradi"": 0.0426, ""le bistro du coin"": 0.0213, ""le café de la médina"": 0.0213, ""dar slah"": 0.0638, ""le souk"": 0.0213, ""dar zarrouk"": 0.0213, ""la maison blanche"": 0.0638, ""le bardo"": 0.0213, ""la maison de la médina"": 0.0213, ""dar belhadj"": 0.0213, ""café des arts"": 0.0213, ""pâtisserie el hana"": 0.0213, ""café de la medina"": 0.0213, ""la villa didon"": 0.0638, ""le restaurant de la medina"": 0.0426, ""le sindbad"": 0.0213, ""le zitouna"": 0.0213, ""le restaurant de la plage"": 0.0213, ""le restaurant de la médina"": 0.0213, ""le restaurant le pirate"": 0.0213, ""la villa bleue"": 0.0426, ""le restaurant du port"": 0.0213, ""café m'rabet"": 0.0213, ""zitouna café"": 0.0213, ""le bistrot"": 0.0213, ""la maison"": 0.0213, ""le relais"": 0.0213, ""la mer"": 0.0213, ""le jardin"": 0.0213, ""le clos"": 0.0213, ""la terrasse"": 0.0426, ""le carthage"": 0.0213, ""la maison de la mer"": 0.0426, ""café de paris"": 0.0213, ""el ksar"": 0.0213}"
"le café des nattes","34","0.087","3.6364","1.4103","0.0","0.5","5","0.0361","unstable","69.2","2","0.6667","{""top_recommendation"": 0.0714, ""cuisine_authentique"": 0.1268, ""localisation"": 0.1194, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0746, ""avis_touristes"": 0.0656}","{""dar el jeld"": 0.3235, ""el menzah"": 0.0294, ""le grand vefour"": 0.2353, ""la maison arabe"": 0.1765, ""le pacha"": 0.0294, ""la ghriba"": 0.0294, ""la kasbah"": 0.1765, ""le grand café"": 0.0294, ""la maison de la medina"": 0.0882, ""le café de la place"": 0.0294, ""la brikerie"": 0.0882, ""la maison de la harissa"": 0.0882, ""le restaurant el ali"": 0.2353, ""le grand café du théâtre"": 0.0588, ""la maison du brik"": 0.0294, ""le grand café de tunis"": 0.0588, ""le café de la gare"": 0.0294, ""el ali"": 0.0294, ""le bistro du coin"": 0.0588, ""le grand bleu"": 0.0294, ""la villa bleue"": 0.0882, ""la maison de la méditerranée"": 0.0294, ""le grand café de la marsa"": 0.0588, ""le bistrot de la marsa"": 0.0588, ""le restaurant de la plage"": 0.1176, ""la maison de la mer"": 0.0294, ""la table de la marsa"": 0.0294, ""la maison de la médina"": 0.0588, ""dar belhadj"": 0.0294, ""le relais"": 0.0588, ""le café de la médina"": 0.0294, ""dar el jaziri"": 0.0294, ""la maison blanche"": 0.0588, ""le zitouna"": 0.0588, ""le bardo"": 0.0294, ""le pirate"": 0.0294, ""la medina"": 0.0588, ""le restaurant de la medina"": 0.0294, ""le grand restaurant"": 0.0294, ""dar el jem"": 0.0294, ""dar el medina"": 0.0294, ""le restaurant de la médina"": 0.0294, ""le restaurant le pirate"": 0.0588, ""le poisson d'or"": 0.0294, ""dar el fell"": 0.0294, ""le grand café de la gare"": 0.0294, ""le petit château"": 0.0294}"
"le jardin","36","0.0921","2.9706","1.5994","0.1667","0.6667","5","0.0354","unstable","667.5","2","0.6667","{""top_recommendation"": 0.1, ""cuisine_authentique"": 0.0845, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.1194, ""avis_touristes"": 0.1803}","{""dar el-andalous"": 0.0556, ""la fontaine"": 0.1111, ""le bled"": 0.0278, ""chez hedi"": 0.0278, ""le ksar"": 0.0278, ""chez ali"": 0.1389, ""la maison de la couscous"": 0.0556, ""dar el jeld"": 0.2222, ""du port"": 0.0278, ""la rotonde"": 0.0556, ""el ksar"": 0.0278, ""la villa"": 0.0278, ""café des arts"": 0.0833, ""dar el khemis"": 0.0278, ""souk el attarine"": 0.0556, ""la terrasse"": 0.1389, ""la perle"": 0.0833, ""le jardin de l'atlas"": 0.0278, ""café de paris"": 0.0833, ""dar essaffar"": 0.0278, ""brik el khadra"": 0.0278, ""chez sami"": 0.0556, ""café des épices"": 0.0833, ""la gourmandine"": 0.0833, ""el mouradi"": 0.0278, ""la table du marché"": 0.0556, ""le souk des épices"": 0.0278, ""chez lamine"": 0.0278, ""la medina"": 0.0278, ""le bistrot de la medina"": 0.0278, ""la table d'or"": 0.0278, ""le sultan"": 0.0278, ""la maison de la tradition"": 0.0278, ""la maison de la mer"": 0.0278, ""le pacha"": 0.0278, ""le comptoir"": 0.0278, ""el mouradi sousse"": 0.0278, ""café de la poste"": 0.0278, ""le jardin de la mer"": 0.0278, ""la maison du pain"": 0.0278, ""le ciel"": 0.0278, ""le soummam"": 0.0278, ""le clos"": 0.0556, ""dar essalam"": 0.0278, ""restaurant el mouradi"": 0.0556, ""dar essouk"": 0.0278, ""café de la paix"": 0.0278, ""le trianon"": 0.0278, ""le jardin des sens"": 0.0556, ""le café de france"": 0.0278, ""la marine"": 0.0278, ""la baie"": 0.0278, ""le clos des oliviers"": 0.0278, ""le chantier"": 0.0278, ""café des négociants"": 0.0278, ""le bistrot"": 0.0278, ""la maison"": 0.0278, ""le relais"": 0.0278, ""la mer"": 0.0278, ""le grand vefour"": 0.0278, ""le clos des sables"": 0.0278, ""la terrasse du port"": 0.0278, ""la maison de la medina"": 0.0278, ""café des nattes"": 0.0278, ""le belvédère"": 0.0278, ""la villa bleue"": 0.0278, ""la plage"": 0.0278, ""la maison de la photographie"": 0.0556, ""dar djerbi"": 0.0278}"
"chez ali","31","0.0793","3.5172","1.3031","0.0645","0.3871","5","0.0344","unstable","601.3","2","0.6667","{""top_recommendation"": 0.1143, ""cuisine_authentique"": 0.0704, ""localisation"": 0.0746, ""occasion_speciale"": 0.0, ""comparatif"": 0.1045, ""avis_touristes"": 0.0984}","{""le bosphore"": 0.0645, ""el mouradi"": 0.1935, ""dar el-andalous"": 0.129, ""le jardin de carthage"": 0.1935, ""la perle"": 0.0323, ""la maison de la couscous"": 0.129, ""dar el jeld"": 0.3226, ""le jardin"": 0.1613, ""du port"": 0.0323, ""la rotonde"": 0.0323, ""el ksar"": 0.0323, ""le jardin de l'atlas"": 0.0323, ""le jardin de l'oasis"": 0.0323, ""le cap"": 0.0323, ""le dar el hana"": 0.0323, ""la maison des saveurs"": 0.129, ""sousse restaurant"": 0.0645, ""dar jellouli"": 0.0323, ""brik el khadra"": 0.0323, ""dar essaffar"": 0.0323, ""café de france"": 0.0645, ""la maison du brik"": 0.0323, ""le jardin des sens"": 0.0968, ""dar essafra"": 0.0323, ""dar jdid"": 0.0323, ""sidi mahrez"": 0.0323, ""café des épices"": 0.0323, ""le jardin de marsa"": 0.0323, ""café de la plage"": 0.0323, ""le clos de sousse"": 0.0323, ""café de paris"": 0.0645, ""la marine"": 0.0323, ""dar el khemis"": 0.0323, ""green garden"": 0.0323, ""le souk des epices"": 0.0323, ""cafe de paris"": 0.0323, ""dar el jedid"": 0.0323, ""café des arts"": 0.0323, ""la maison de la medina"": 0.0323, ""le souk"": 0.0323, ""le jardin de l'orangerie"": 0.0323, ""el mouradi sousse"": 0.0323, ""dar essalam"": 0.0323, ""chez sami"": 0.0323, ""restaurant el mouradi"": 0.0323, ""dar kalthoum"": 0.0323, ""le café de france"": 0.0323, ""le clos des oliviers"": 0.0323, ""le chantier"": 0.0323, ""café des négociants"": 0.0323, ""le clos des sables"": 0.0323, ""le bistrot du port"": 0.0323, ""la maison de la photographie"": 0.0323, ""le jardin de djerba"": 0.0323}"
"la medina","28","0.0716","3.0","1.3484","0.1071","0.4643","5","0.0305","unstable","78.6","2","0.6667","{""top_recommendation"": 0.1571, ""cuisine_authentique"": 0.0563, ""localisation"": 0.0448, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0597, ""avis_touristes"": 0.0492}","{""la kasbah"": 0.5, ""el mansour"": 0.1786, ""la maison arabe"": 0.2143, ""dar el jeld"": 0.4643, ""le pirate"": 0.1786, ""le baron"": 0.0357, ""la maison blanche"": 0.0714, ""el farouk"": 0.0714, ""el khayam"": 0.0357, ""el ksar"": 0.0714, ""le central"": 0.0357, ""le petit chateau"": 0.0357, ""la belle epoque"": 0.0357, ""le corsaire"": 0.0357, ""el fell"": 0.0357, ""le port"": 0.0357, ""le café de la plage"": 0.0357, ""el mouradi"": 0.0714, ""dar el jaziri"": 0.0357, ""le poisson d'or"": 0.0714, ""el hana"": 0.0714, ""le corail"": 0.0714, ""le bled"": 0.0357, ""le cap"": 0.0357, ""la terrasse"": 0.1071, ""le grand vefour"": 0.1786, ""le brik"": 0.0357, ""al bahja"": 0.0357, ""le cafe des nattes"": 0.0357, ""le patio"": 0.0357, ""la badira"": 0.0357, ""le bistrot de la medina"": 0.0357, ""la table d'or"": 0.0357, ""le sultan"": 0.0357, ""le jardin"": 0.0357, ""le café des nattes"": 0.0714, ""le bistrot de la médina"": 0.0357, ""le restaurant de la plage"": 0.0357, ""le relais"": 0.0357, ""le petit châtelet"": 0.0357, ""dar el fell"": 0.0357, ""le carthage"": 0.0357, ""la maison de la mer"": 0.0357, ""café de paris"": 0.0357, ""le calypso"": 0.0357}"
"le pirate","28","0.0716","2.8889","1.5235","0.2857","0.6071","5","0.0284","unstable","69.1","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.1343, ""occasion_speciale"": 0.0909, ""comparatif"": 0.0746, ""avis_touristes"": 0.1148}","{""el mansour"": 0.0714, ""la medina"": 0.1786, ""la maison arabe"": 0.2857, ""dar el jeld"": 0.4643, ""le café de la gare"": 0.0357, ""le bosphore"": 0.0357, ""dar el jem"": 0.0357, ""le corsaire"": 0.0357, ""le petit château"": 0.1429, ""le restaurant de la médina"": 0.0357, ""le cafe des nattes"": 0.0357, ""la kasbah"": 0.25, ""el farouk"": 0.0714, ""le bistrot"": 0.0357, ""la grotte"": 0.0357, ""la maison de la médina"": 0.0357, ""le relais"": 0.0714, ""la maison blanche"": 0.2143, ""la terrasse"": 0.0714, ""el farah"": 0.0357, ""le calypso"": 0.25, ""café de paris"": 0.0357, ""la villa"": 0.0714, ""café des nattes"": 0.25, ""la marine"": 0.0357, ""el mouradi"": 0.0357, ""la villa bleue"": 0.2143, ""dar el fell"": 0.1786, ""dar zarrouk"": 0.1786, ""le golfe"": 0.0357, ""la maison de la méditerranée"": 0.0714, ""café sidi chabaane"": 0.1429, ""le grand bleu"": 0.0714, ""le grand café de la gare"": 0.0357, ""la villa didon"": 0.0357, ""le grand café de tunis"": 0.0357, ""la médina"": 0.0357, ""le corail"": 0.0357, ""le café des nattes"": 0.0357, ""le grand restaurant"": 0.0357, ""la mamma"": 0.0357, ""restaurant le baron"": 0.0357, ""le grand café du théâtre"": 0.0357, ""le calife"": 0.0357, ""diwan"": 0.0357, ""dar el jaziri"": 0.0714, ""le grand cafe"": 0.0357, ""le restaurant de la plage"": 0.0357, ""la maison de la medina"": 0.1071, ""dar baaziz"": 0.0357, ""le souk"": 0.0357}"
"la terrasse","30","0.0767","3.9667","1.8526","0.1333","0.4","5","0.0269","unstable","379.1","3","1.0","{""top_recommendation"": 0.0714, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0746, ""occasion_speciale"": 0.1091, ""comparatif"": 0.1194, ""avis_touristes"": 0.082}","{""l'atelier"": 0.0333, ""dar el jeld"": 0.3333, ""la kasbah"": 0.2333, ""le souk"": 0.0333, ""la mer"": 0.0667, ""le zitouna"": 0.0333, ""le relais de la medina"": 0.0333, ""café des arts"": 0.0333, ""dar el khemis"": 0.0333, ""souk el attarine"": 0.0333, ""le jardin"": 0.1667, ""la perle"": 0.0333, ""la medina"": 0.1, ""le bled"": 0.0333, ""le cap"": 0.0333, ""le jardin de la kasbah"": 0.0333, ""le bistrot"": 0.1, ""la grotte"": 0.0333, ""la maison de la médina"": 0.0667, ""le relais"": 0.0667, ""la maison blanche"": 0.0667, ""le pirate"": 0.0667, ""le jardin des sens"": 0.0333, ""le bistrot de la mer"": 0.0333, ""le café de paris"": 0.0333, ""le clos des sables"": 0.0333, ""al fassia"": 0.0333, ""café des épices"": 0.0333, ""chez lamine"": 0.0333, ""le patio"": 0.1, ""le jardin de sousse"": 0.0333, ""café de l'europe"": 0.0333, ""le corail"": 0.0333, ""le jardin de la medina"": 0.0667, ""le jardin de carthage"": 0.1, ""le restaurant de la plage"": 0.0333, ""la rotonde"": 0.0667, ""le jardin de la mer"": 0.0333, ""le ciel"": 0.0333, ""le rendez-vous"": 0.0333, ""la maison des saveurs"": 0.0333, ""le petit château"": 0.0333, ""le sultan"": 0.0333, ""la casa"": 0.0333, ""le comptoir"": 0.0333, ""le restaurant du port"": 0.0667, ""dar jdid"": 0.0333, ""el mouradi"": 0.0333, ""chez mokhtar"": 0.0333, ""le restaurant de la medina"": 0.1, ""la maison arabe"": 0.0333, ""le café des nuits"": 0.0333, ""le grand café"": 0.0333, ""la mamma"": 0.0333, ""zitouna café"": 0.0333, ""le clos"": 0.0667, ""la gourmandine"": 0.0333, ""la maison"": 0.0333, ""le grand vefour"": 0.0667, ""le calife"": 0.0333, ""la maison de la medina"": 0.0333, ""dar el fell"": 0.0333, ""le petit prince"": 0.0333, ""la maison de la mer"": 0.0333, ""el ksar"": 0.0333}"
