"canonical_entity","mention_count","mention_rate","average_ranking_position","rank_variance","top1_rate","mention_prominence","frequency_across_runs","stability_score","consistency_label","avg_description_length","model_presence_count","cross_model_rate","prompt_type_response","co_mention_rate","is_restaurant","data_quality","gm_rating","gm_review_count","gm_address","gm_phone","gm_website","gm_category","ta_rating","ta_review_count","ta_url","ta_ranking","has_wikipedia","wd_entity_type","wd_country","wd_official_website","wd_founded","ig_handle","ig_followers","ig_posts","ig_engagement_rate","ig_bio","fb_handle","fb_page_likes","fb_post_engagement","overall_confidence","scrape_timestamp","has_website","has_phone","has_address","has_instagram","has_facebook","has_tripadvisor","has_wikidata","data_source_count","review_total","ig_bio_mentions_brand","parse_error","error","data_completeness","unified_quality","triage_decision","triage_reason"
"dar el jeld","159","0.4066","2.013","1.3338","0.4591","0.8239","5","0.1742","unstable","276.6","3","1.0","{""top_recommendation"": 0.5143, ""cuisine_authentique"": 0.4085, ""localisation"": 0.4925, ""occasion_speciale"": 0.2727, ""comparatif"": 0.3134, ""avis_touristes"": 0.4098}","{""el menzah"": 0.0189, ""le grand vefour"": 0.2327, ""le café des nattes"": 0.0692, ""la maison arabe"": 0.1635, ""le pacha"": 0.0377, ""le restaurant de la kasbah"": 0.0126, ""la mamma"": 0.0252, ""el ali"": 0.0503, ""l'atelier"": 0.0126, ""la terrasse"": 0.0629, ""la kasbah"": 0.2327, ""le brik"": 0.0126, ""le zitouna"": 0.0252, ""dar el annabi"": 0.0063, ""la tonnelle"": 0.0126, ""el mouradi"": 0.0755, ""le jardin de carthage"": 0.0314, ""la maison de la medina"": 0.0377, ""le rest'o"": 0.0314, ""le rest'ô"": 0.0126, ""zitouna café"": 0.0126, ""le belvédère"": 0.0063, ""café des nattes"": 0.0629, ""el mansour"": 0.0189, ""la medina"": 0.0818, ""le pirate"": 0.0818, ""le baron"": 0.0063, ""la maison blanche"": 0.0755, ""el farouk"": 0.0252, ""le souk"": 0.0252, ""la mer"": 0.0126, ""le relais de la medina"": 0.0063, ""chez ali"": 0.0629, ""la maison de la couscous"": 0.0189, ""le jardin"": 0.0503, ""du port"": 0.0063, ""la rotonde"": 0.0063, ""el ksar"": 0.0189, ""le port"": 0.0063, ""café des arts"": 0.0377, ""dar el khemis"": 0.0126, ""souk el attarine"": 0.0063, ""la perle"": 0.0252, ""le grand bleu"": 0.0189, ""le petit château"": 0.0189, ""restaurant de la médina"": 0.0063, ""le calypso"": 0.0314, ""le calife"": 0.0126, ""restaurant el mouradi"": 0.0314, ""le restaurant de la medina"": 0.0189, ""le jardin de l'atlas"": 0.0063, ""le jardin de l'oasis"": 0.0063, ""le cap"": 0.0063, ""sousse restaurant"": 0.0063, ""le café de la kasbah"": 0.0126, ""le café de paris"": 0.0189, ""le couscous de la medina"": 0.0126, ""le restaurant el ali"": 0.0252, ""le dar el hana"": 0.0063, ""la maison de la tradition"": 0.0063, ""café de paris"": 0.0377, ""le trianon"": 0.0126, ""el hana"": 0.0063, ""el farah"": 0.0126, ""le petit châtelet"": 0.0314, ""le jardin de la kasbah"": 0.0063, ""el khayam"": 0.0063, ""le jardin de sousse"": 0.0126, ""le bistro du coin"": 0.0063, ""le ksar"": 0.0063, ""dar zarrouk"": 0.0189, ""la maison du pain"": 0.0063, ""le grand café de la marsa"": 0.0063, ""le bistrot de la marsa"": 0.0063, ""la villa bleue"": 0.0252, ""la maison de la mer"": 0.0252, ""la table de la marsa"": 0.0063, ""le jardin de marsa"": 0.0063, ""café de la plage"": 0.0126, ""le cafe des nattes"": 0.0189, ""le bistrot"": 0.0063, ""la grotte"": 0.0252, ""la maison de la médina"": 0.0126, ""le relais"": 0.0252, ""la villa"": 0.0189, ""la marine"": 0.0126, ""le clos de sousse"": 0.0063, ""green garden"": 0.0063, ""dar essalam"": 0.0063, ""le café des nuits"": 0.0063, ""la maison des saveurs"": 0.0189, ""la terrasse du port"": 0.0063, ""le jardin des sens"": 0.0189, ""le bistrot de la mer"": 0.0189, ""la table du marché"": 0.0126, ""chez sami"": 0.0063, ""le clos des sables"": 0.0063, ""al fassia"": 0.0063, ""le café de la médina"": 0.0063, ""dar slah"": 0.0252, ""le bardo"": 0.0126, ""dar belhadj"": 0.0126, ""la mammounia"": 0.0063, ""la zalabia"": 0.0063, ""café mabrouk"": 0.0126, ""chez hedi"": 0.0063, ""le jardin de la medina"": 0.0126, ""el bahri"": 0.0063, ""la maison de l'artisan"": 0.0063, ""café de france"": 0.0063, ""dar jellouli"": 0.0063, ""la fontaine"": 0.0063, ""le souk des épices"": 0.0063, ""café de la poste"": 0.0063, ""le jardin de sidi bou said"": 0.0063, ""pâtisserie el hana"": 0.0126, ""café de la medina"": 0.0063, ""le patio"": 0.0126, ""la villa didon"": 0.0314, ""le grand café de la gare"": 0.0126, ""le restaurant le corail"": 0.0063, ""le restaurant de la médina"": 0.0063, ""le phare"": 0.0126, ""le grand café de tunis"": 0.0063, ""le sultan"": 0.0063, ""café des sports"": 0.0063, ""la table de sousse"": 0.0063, ""le ciel"": 0.0063, ""le bistrot du port"": 0.0252, ""le sindbad"": 0.0063, ""la ghriba"": 0.0063, ""la belle époque"": 0.0063, ""le bosphore"": 0.0063, ""le grand restaurant"": 0.0063, ""restaurant le baron"": 0.0126, ""le grand café du théâtre"": 0.0126, ""dar baaziz"": 0.0126, ""le bistrot de la médina"": 0.0063, ""le restaurant de la plage"": 0.0063, ""le belvedere"": 0.0063, ""le soummam"": 0.0063, ""café de la paix"": 0.0063, ""le restaurant le pirate"": 0.0063, ""café m'rabet"": 0.0126, ""la zalagh"": 0.0126, ""le grand hotel sousse"": 0.0063, ""la casa"": 0.0063, ""le corsaire"": 0.0063, ""le golfe"": 0.0063, ""la médina"": 0.0063, ""le jardin de la médina"": 0.0063, ""la maison de la photographie"": 0.0063, ""al bahja"": 0.0063}","True","complete","4.3","1079.0","5-10, Rue Dar El Jeld، Street 1005, Tunisia","+216 71 560 916","http://www.dareljeld.com/","['Restaurant']","4.4","1193.0","https://www.tripadvisor.com/Restaurant_Review-g293758-d1437888-Reviews-Dar_El_Jeld_Restaurant-Tunis_Tunis_Governorate.html","#4 of 353 Restaurants in Tunis","False","","","","","dareljeld","85204.0","487.0","0.0","* Dar El Jeld hotel and spa : 5 stars boutique hotel +21670016190 * Dar El Jeld restaurant : Traditional tunisian gastronomy +21671560916","dareljeldtunis","110469.0","0.0","0.9","2026-04-15T22:25:51.591117","True","True","True","True","True","True","False","5","2272","True","","","0.9","complete","",""
"la kasbah","68","0.1739","3.0923","1.5857","0.1324","0.5441","5","0.0673","unstable","85.5","2","0.6667","{""top_recommendation"": 0.2429, ""cuisine_authentique"": 0.2113, ""localisation"": 0.1791, ""occasion_speciale"": 0.1455, ""comparatif"": 0.1343, ""avis_touristes"": 0.1148}","{""l'atelier"": 0.0294, ""la terrasse"": 0.1029, ""dar el jeld"": 0.5441, ""le brik"": 0.0294, ""le pacha"": 0.0588, ""le zitouna"": 0.0735, ""dar el annabi"": 0.0294, ""la ghriba"": 0.0294, ""le café des nattes"": 0.0882, ""la medina"": 0.2059, ""zitouna café"": 0.0294, ""la maison blanche"": 0.0882, ""el mouradi"": 0.0882, ""le relais de la medina"": 0.0294, ""le petit chateau"": 0.0147, ""el mansour"": 0.0441, ""la belle epoque"": 0.0147, ""la maison arabe"": 0.1029, ""le corsaire"": 0.0147, ""el fell"": 0.0147, ""le port"": 0.0147, ""le café de la plage"": 0.0147, ""dar el jaziri"": 0.0147, ""le poisson d'or"": 0.0147, ""el hana"": 0.0441, ""le corail"": 0.0147, ""le bled"": 0.0147, ""le cap"": 0.0147, ""le grand vefour"": 0.1324, ""le dar el hana"": 0.0294, ""dar el jedid"": 0.0147, ""la villa bleue"": 0.0441, ""le café de la kasbah"": 0.0147, ""café des nattes"": 0.0588, ""le central"": 0.0147, ""la maison du brik"": 0.0147, ""le souk"": 0.0294, ""dar el jem"": 0.0147, ""el farah"": 0.0147, ""le petit châtelet"": 0.0441, ""le jardin de la kasbah"": 0.0294, ""al bahja"": 0.0147, ""café de la paix"": 0.0147, ""la maison de la mer"": 0.0294, ""du port"": 0.0147, ""le ksar"": 0.0147, ""le cafe des nattes"": 0.0294, ""el farouk"": 0.0588, ""le pirate"": 0.1029, ""le bistrot"": 0.0147, ""la grotte"": 0.0147, ""la maison de la médina"": 0.0147, ""le relais"": 0.0294, ""la perle"": 0.0147, ""le café de la médina"": 0.0147, ""dar slah"": 0.0147, ""dar zarrouk"": 0.0147, ""la zalabia"": 0.0147, ""café des arts"": 0.0294, ""café mabrouk"": 0.0294, ""chez hedi"": 0.0147, ""le patio"": 0.0294, ""el ksar"": 0.0147, ""le bardo"": 0.0147, ""la médina"": 0.0147, ""le baron"": 0.0147, ""le grand hotel sousse"": 0.0147, ""le bistrot de la mer"": 0.0147, ""le bistrot de la médina"": 0.0147, ""le restaurant de la plage"": 0.0294, ""le restaurant de la medina"": 0.0147, ""la mamma"": 0.0147, ""le bosphore"": 0.0147, ""dar el fell"": 0.0147, ""le grand cafe"": 0.0147, ""la maison de la medina"": 0.0147, ""la zalagh"": 0.0147}","False","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:31:51.187731","True","True","True","False","False","False","False","2","342","True","","","0.5","partial","",""
"la maison arabe","47","0.1202","3.2128","1.2706","0.0213","0.5957","5","0.0529","unstable","90.4","2","0.6667","{""top_recommendation"": 0.1429, ""cuisine_authentique"": 0.1127, ""localisation"": 0.0896, ""occasion_speciale"": 0.1273, ""comparatif"": 0.1642, ""avis_touristes"": 0.082}","{""dar el jeld"": 0.5532, ""le pacha"": 0.0638, ""le grand vefour"": 0.3191, ""le café des nattes"": 0.1277, ""le restaurant de la kasbah"": 0.0213, ""el mansour"": 0.0426, ""la medina"": 0.1277, ""le pirate"": 0.1702, ""le petit chateau"": 0.0213, ""la kasbah"": 0.1489, ""la belle epoque"": 0.0213, ""le corsaire"": 0.0213, ""le grand bleu"": 0.1277, ""le petit château"": 0.1277, ""restaurant de la médina"": 0.0213, ""le calypso"": 0.1064, ""le calife"": 0.0426, ""restaurant el mouradi"": 0.0213, ""le restaurant de la medina"": 0.0851, ""el fell"": 0.0213, ""dar el fell"": 0.0426, ""le café de la kasbah"": 0.0213, ""el menzah"": 0.0426, ""le café de paris"": 0.0213, ""el ali"": 0.0426, ""le couscous de la medina"": 0.0213, ""le restaurant el ali"": 0.0426, ""el hana"": 0.0426, ""el mouradi"": 0.0426, ""le souk"": 0.0213, ""dar el jem"": 0.0426, ""la villa bleue"": 0.0851, ""le bistrot de la marsa"": 0.0426, ""le café de la plage"": 0.0426, ""la table de la méditerranée"": 0.0426, ""le golfe"": 0.0213, ""le restaurant le corail"": 0.0213, ""la mer"": 0.0213, ""le cafe des nattes"": 0.0213, ""el farouk"": 0.0638, ""café des nattes"": 0.0213, ""pâtisserie el hana"": 0.0213, ""café de la medina"": 0.0213, ""le grand café de la gare"": 0.0213, ""café des arts"": 0.0213, ""le jardin de carthage"": 0.0213, ""le bistrot"": 0.0426, ""le restaurant de l'hôtel hasdrubal"": 0.0638, ""le rest'o"": 0.0213, ""le baron"": 0.0213, ""le grand hotel sousse"": 0.0213, ""le grand restaurant"": 0.0426, ""dar el medina"": 0.0213, ""le relais"": 0.0426, ""le café des nuits"": 0.0213, ""le grand café"": 0.0213, ""la terrasse"": 0.0213, ""le bosphore"": 0.0213, ""le petit châtelet"": 0.0213, ""le restaurant de la plage"": 0.0213}","True","complete","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","['Restaurant']","4.7","15.0","https://www.tripadvisor.com/Restaurant_Review-g297943-d2421647-Reviews-La_Maison_Arabe-Hammamet_Nabeul_Governorate.html","#81 of 195 Restaurants in Hammamet","False","","","","","lamaisontunis","55823.0","589.0","0.0","🍴Restaurant Gastronomique, Bar Lounge, Cocktails et Tapas. 🍽 Cuisine méditerranéenne ⏰Tous les jours sauf le lundi ⏰12h - 00h 📞+216 51 427 427","lamaisonresto","22221.0","0.0","0.9","2026-04-15T22:28:43.251167","True","True","True","True","True","True","False","5","357","False","","","0.9","complete","",""
"le café des nattes","60","0.087","3.6364","1.4103","0.087","0.5","5","0.0361","unstable","69.2","2","0.6667","{""top_recommendation"": 0.0714, ""cuisine_authentique"": 0.1268, ""localisation"": 0.1194, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0746, ""avis_touristes"": 0.0656}","{""dar el jeld"": 0.3235, ""el menzah"": 0.0294, ""le grand vefour"": 0.2353, ""la maison arabe"": 0.1765, ""le pacha"": 0.0294, ""la ghriba"": 0.0294, ""la kasbah"": 0.1765, ""le grand café"": 0.0294, ""la maison de la medina"": 0.0882, ""le café de la place"": 0.0294, ""la brikerie"": 0.0882, ""la maison de la harissa"": 0.0882, ""le restaurant el ali"": 0.2353, ""le grand café du théâtre"": 0.0588, ""la maison du brik"": 0.0294, ""le grand café de tunis"": 0.0588, ""le café de la gare"": 0.0294, ""el ali"": 0.0294, ""le bistro du coin"": 0.0588, ""le grand bleu"": 0.0294, ""la villa bleue"": 0.0882, ""la maison de la méditerranée"": 0.0294, ""le grand café de la marsa"": 0.0588, ""le bistrot de la marsa"": 0.0588, ""le restaurant de la plage"": 0.1176, ""la maison de la mer"": 0.0294, ""la table de la marsa"": 0.0294, ""la maison de la médina"": 0.0588, ""dar belhadj"": 0.0294, ""le relais"": 0.0588, ""le café de la médina"": 0.0294, ""dar el jaziri"": 0.0294, ""la maison blanche"": 0.0588, ""le zitouna"": 0.0588, ""le bardo"": 0.0294, ""le pirate"": 0.0294, ""la medina"": 0.0588, ""le restaurant de la medina"": 0.0294, ""le grand restaurant"": 0.0294, ""dar el jem"": 0.0294, ""dar el medina"": 0.0294, ""le restaurant de la médina"": 0.0294, ""le restaurant le pirate"": 0.0588, ""le poisson d'or"": 0.0294, ""dar el fell"": 0.0294, ""le grand café de la gare"": 0.0294, ""le petit château"": 0.0294}","True","complete","3.2","92.0","Rue Habib Thameur, Site archéologique de Carthage 2026, Tunisia","+216 71 749 661","https://best--restaurants.blogspot.com/","['Cafe']","3.9","227.0","https://www.tripadvisor.com/Restaurant_Review-g316117-d7129062-Reviews-Cafe_des_Nattes-Sidi_Bou_Said_Tunis_Governorate.html","#4 of 37 Restaurants in Sidi Bou Said","False","","","","","","","","","","CafeDesNattes","12714.0","0.0","0.9","2026-04-15T23:00:34.156474","True","True","True","False","True","True","False","4","319","False","","","0.8","complete","",""
"le jardin","36","0.0921","2.9706","1.5994","0.1667","0.6667","5","0.0354","unstable","667.5","2","0.6667","{""top_recommendation"": 0.1, ""cuisine_authentique"": 0.0845, ""localisation"": 0.0448, ""occasion_speciale"": 0.0182, ""comparatif"": 0.1194, ""avis_touristes"": 0.1803}","{""dar el-andalous"": 0.0556, ""la fontaine"": 0.1111, ""le bled"": 0.0278, ""chez hedi"": 0.0278, ""le ksar"": 0.0278, ""chez ali"": 0.1389, ""la maison de la couscous"": 0.0556, ""dar el jeld"": 0.2222, ""du port"": 0.0278, ""la rotonde"": 0.0556, ""el ksar"": 0.0278, ""la villa"": 0.0278, ""café des arts"": 0.0833, ""dar el khemis"": 0.0278, ""souk el attarine"": 0.0556, ""la terrasse"": 0.1389, ""la perle"": 0.0833, ""le jardin de l'atlas"": 0.0278, ""café de paris"": 0.0833, ""dar essaffar"": 0.0278, ""brik el khadra"": 0.0278, ""chez sami"": 0.0556, ""café des épices"": 0.0833, ""la gourmandine"": 0.0833, ""el mouradi"": 0.0278, ""la table du marché"": 0.0556, ""le souk des épices"": 0.0278, ""chez lamine"": 0.0278, ""la medina"": 0.0278, ""le bistrot de la medina"": 0.0278, ""la table d'or"": 0.0278, ""le sultan"": 0.0278, ""la maison de la tradition"": 0.0278, ""la maison de la mer"": 0.0278, ""le pacha"": 0.0278, ""le comptoir"": 0.0278, ""el mouradi sousse"": 0.0278, ""café de la poste"": 0.0278, ""le jardin de la mer"": 0.0278, ""la maison du pain"": 0.0278, ""le ciel"": 0.0278, ""le soummam"": 0.0278, ""le clos"": 0.0556, ""dar essalam"": 0.0278, ""restaurant el mouradi"": 0.0556, ""dar essouk"": 0.0278, ""café de la paix"": 0.0278, ""le trianon"": 0.0278, ""le jardin des sens"": 0.0556, ""le café de france"": 0.0278, ""la marine"": 0.0278, ""la baie"": 0.0278, ""le clos des oliviers"": 0.0278, ""le chantier"": 0.0278, ""café des négociants"": 0.0278, ""le bistrot"": 0.0278, ""la maison"": 0.0278, ""le relais"": 0.0278, ""la mer"": 0.0278, ""le grand vefour"": 0.0278, ""le clos des sables"": 0.0278, ""la terrasse du port"": 0.0278, ""la maison de la medina"": 0.0278, ""café des nattes"": 0.0278, ""le belvédère"": 0.0278, ""la villa bleue"": 0.0278, ""la plage"": 0.0278, ""la maison de la photographie"": 0.0556, ""dar djerbi"": 0.0278}","True","partial","5.0","124.0","43 Farhat Hached, Tunis 1000, Tunisia","+216 23 979 799","","Restaurant","","","","","False","","","","","l.e.j.a.r.d.i.n","25871.0","1685.0","0.0","ECO.REFUGE","","","","0.7","2026-04-15T22:30:39.083753","False","True","True","True","False","False","False","2","124","False","","","0.6","partial","",""
"la terrasse","30","0.0767","3.9667","1.8526","0.1333","0.4","5","0.0269","unstable","379.1","3","1.0","{""top_recommendation"": 0.0714, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0746, ""occasion_speciale"": 0.1091, ""comparatif"": 0.1194, ""avis_touristes"": 0.082}","{""l'atelier"": 0.0333, ""dar el jeld"": 0.3333, ""la kasbah"": 0.2333, ""le souk"": 0.0333, ""la mer"": 0.0667, ""le zitouna"": 0.0333, ""le relais de la medina"": 0.0333, ""café des arts"": 0.0333, ""dar el khemis"": 0.0333, ""souk el attarine"": 0.0333, ""le jardin"": 0.1667, ""la perle"": 0.0333, ""la medina"": 0.1, ""le bled"": 0.0333, ""le cap"": 0.0333, ""le jardin de la kasbah"": 0.0333, ""le bistrot"": 0.1, ""la grotte"": 0.0333, ""la maison de la médina"": 0.0667, ""le relais"": 0.0667, ""la maison blanche"": 0.0667, ""le pirate"": 0.0667, ""le jardin des sens"": 0.0333, ""le bistrot de la mer"": 0.0333, ""le café de paris"": 0.0333, ""le clos des sables"": 0.0333, ""al fassia"": 0.0333, ""café des épices"": 0.0333, ""chez lamine"": 0.0333, ""le patio"": 0.1, ""le jardin de sousse"": 0.0333, ""café de l'europe"": 0.0333, ""le corail"": 0.0333, ""le jardin de la medina"": 0.0667, ""le jardin de carthage"": 0.1, ""le restaurant de la plage"": 0.0333, ""la rotonde"": 0.0667, ""le jardin de la mer"": 0.0333, ""le ciel"": 0.0333, ""le rendez-vous"": 0.0333, ""la maison des saveurs"": 0.0333, ""le petit château"": 0.0333, ""le sultan"": 0.0333, ""la casa"": 0.0333, ""le comptoir"": 0.0333, ""le restaurant du port"": 0.0667, ""dar jdid"": 0.0333, ""el mouradi"": 0.0333, ""chez mokhtar"": 0.0333, ""le restaurant de la medina"": 0.1, ""la maison arabe"": 0.0333, ""le café des nuits"": 0.0333, ""le grand café"": 0.0333, ""la mamma"": 0.0333, ""zitouna café"": 0.0333, ""le clos"": 0.0667, ""la gourmandine"": 0.0333, ""la maison"": 0.0333, ""le grand vefour"": 0.0667, ""le calife"": 0.0333, ""la maison de la medina"": 0.0333, ""dar el fell"": 0.0333, ""le petit prince"": 0.0333, ""la maison de la mer"": 0.0333, ""el ksar"": 0.0333}","True","partial","3.9","120.0","CMCF+W7X, Route Touristique, Mrezga, Tunisia","+216 72 322 659","","Restaurant","4.0","156.0","https://www.tripadvisor.com/Restaurant_Review-g297943-d3468990-Reviews-La_Terrasse-Hammamet_Nabeul_Governorate.html","#35 of 195 Restaurants in Hammamet","False","","","","","","0.0","0.0","0.0","","","0.0","0.0","0.9","2026-04-15T22:34:05.674423","False","True","True","False","False","True","False","2","276","False","","","0.9","complete","",""
"la villa bleue","22","0.0563","2.5909","1.2306","0.2273","0.7727","5","0.0252","unstable","56.7","2","0.6667","{""top_recommendation"": 0.0143, ""cuisine_authentique"": 0.0, ""localisation"": 0.1791, ""occasion_speciale"": 0.0545, ""comparatif"": 0.0299, ""avis_touristes"": 0.0656}","{""dar el jedid"": 0.0455, ""la kasbah"": 0.1364, ""le grand bleu"": 0.1364, ""la maison arabe"": 0.1818, ""le café des nattes"": 0.1364, ""la maison de la méditerranée"": 0.1364, ""le grand café de la marsa"": 0.0909, ""le bistrot de la marsa"": 0.1818, ""le restaurant de la plage"": 0.0455, ""le bistro du coin"": 0.0455, ""le petit château"": 0.0909, ""le café de la plage"": 0.1364, ""la table de la méditerranée"": 0.0455, ""le golfe"": 0.0909, ""le restaurant le corail"": 0.0909, ""dar el jeld"": 0.1818, ""la maison de la mer"": 0.0909, ""la table de la marsa"": 0.0455, ""café des nattes"": 0.2273, ""dar el fell"": 0.2273, ""dar zarrouk"": 0.2273, ""le pirate"": 0.2727, ""café sidi chabaane"": 0.1818, ""la maison blanche"": 0.1364, ""la villa des orangers"": 0.0455, ""la maison bleue"": 0.0455, ""la maison des arts"": 0.0455, ""le grand café de la gare"": 0.0455, ""le restaurant de la médina"": 0.0455, ""la table d'or"": 0.0455, ""le restaurant de la medina"": 0.0909, ""le restaurant de la kasbah"": 0.0455, ""le grand vefour"": 0.0909, ""le restaurant du port"": 0.0455, ""le bistrot"": 0.0455, ""le carthage"": 0.0455, ""zitouna café"": 0.0455, ""le bistrot du port"": 0.0455, ""le belvédère"": 0.0455, ""la plage"": 0.0455, ""le jardin"": 0.0455, ""el farouk"": 0.0455}","False","partial","4.2","799.0","68 rue Kennedy، Sidi Bou Said 2026, Tunisia","+216 71 742 000","http://www.lavillableuesidibousaid.com/","['Hotel']","","","","","False","","","","","lavillableue_officiel","50722.0","602.0","0.0","Hôtel & SPA 📞 71 742 000 / 71 743 900 📩 sales@lavillableuesidibousaid.com","lavillableue","65018.0","0.0","0.5","2026-04-15T22:35:09.042220","True","True","True","True","True","False","False","4","799","True","","","0.7","complete","",""
"le jardin de carthage","19","0.0486","2.8947","1.8323","0.2632","0.6842","5","0.0172","unstable","713.6","1","0.3333","{""top_recommendation"": 0.0429, ""cuisine_authentique"": 0.0282, ""localisation"": 0.0597, ""occasion_speciale"": 0.0909, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""la tonnelle"": 0.1053, ""dar el jeld"": 0.2632, ""el mouradi"": 0.2632, ""le brik"": 0.0526, ""chez ali"": 0.3158, ""dar el-andalous"": 0.1579, ""la perle"": 0.1053, ""le dar el hana"": 0.0526, ""la maison des saveurs"": 0.2105, ""café des épices"": 0.0526, ""le restaurant de la medina"": 0.0526, ""dar djerbi"": 0.0526, ""café des arts"": 0.2105, ""café de la paix"": 0.0526, ""café des nattes"": 0.0526, ""la table de sousse"": 0.0526, ""le bistrot du port"": 0.1579, ""le clos de sousse"": 0.0526, ""café de paris"": 0.1053, ""la marine"": 0.0526, ""dar el khemis"": 0.0526, ""green garden"": 0.0526, ""dar essalam"": 0.0526, ""le café des nuits"": 0.0526, ""la terrasse du port"": 0.0526, ""la fontaine"": 0.0526, ""la table de la marsa"": 0.0526, ""le jardin de la medina"": 0.1053, ""la terrasse"": 0.1579, ""la maison arabe"": 0.0526, ""le ciel"": 0.0526, ""le jardin de sousse"": 0.0526, ""dar jdid"": 0.0526, ""chez mokhtar"": 0.0526, ""dar kalthoum"": 0.0526, ""sousse restaurant"": 0.0526, ""le chantier"": 0.0526, ""café de france"": 0.0526, ""café des négociants"": 0.0526, ""el ksar"": 0.0526}","False","failed","","","","","","","","","","","False","","","","","","","","","","","","","0.0","2026-04-17T12:55:54.324267","False","False","False","False","False","False","False","0","0","False","","","0.2","agent2_failed","retry","Le Jardin de Carthage sounds like a plausible name for a Tunisian restaurant and is worth retrying to verify."
"le jardin de la medina","13","0.0332","2.4444","0.9558","0.1538","0.6154","5","0.017","unstable","589.5","1","0.3333","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0141, ""localisation"": 0.0299, ""occasion_speciale"": 0.0727, ""comparatif"": 0.0149, ""avis_touristes"": 0.0492}","{""la maison de l'artisan"": 0.1538, ""dar jilani"": 0.0769, ""el bahri"": 0.1538, ""café des sports"": 0.0769, ""café de l'union"": 0.0769, ""café des arts"": 0.2308, ""café de france"": 0.0769, ""le jardin de sousse"": 0.0769, ""dar essaffar"": 0.0769, ""la maison des saveurs"": 0.1538, ""dar el jeld"": 0.1538, ""el mouradi"": 0.0769, ""café de paris"": 0.0769, ""dar djerbi"": 0.0769, ""la tonnelle"": 0.1538, ""chez lamine"": 0.0769, ""le jardin de carthage"": 0.1538, ""la terrasse"": 0.1538, ""dar aziza"": 0.0769, ""le rendez-vous"": 0.0769, ""la rotonde"": 0.0769, ""dar ezzahra"": 0.0769, ""el ksar"": 0.0769, ""le bistrot du port"": 0.0769, ""café des nattes"": 0.0769, ""chez mokhtar"": 0.0769, ""sidi mahrez"": 0.0769, ""la table du marché"": 0.0769}","True","complete","3.7","346.0","R6PR+37P, Tunis, Tunisia","+216 55 113 333","https://www.facebook.com/lemdina.lac/","Restaurant","4.6","8.0","https://www.tripadvisor.com/Restaurant_Review-g293758-d17729494-Reviews-Goomba_s-Tunis_Tunis_Governorate.html","#73 of 353 Restaurants in Tunis","False","","","","","lemdina.lac","0.0","0.0","0.0","","lemdina.lac","192618.0","0.0","0.9","2026-04-15T22:40:44.330155","True","True","True","True","True","True","False","5","354","False","","","0.9","complete","",""
"la perle","14","0.0358","3.7857","1.2637","0.0714","0.3571","5","0.0158","unstable","685.9","2","0.6667","{""top_recommendation"": 0.0286, ""cuisine_authentique"": 0.0, ""localisation"": 0.0746, ""occasion_speciale"": 0.0364, ""comparatif"": 0.0448, ""avis_touristes"": 0.0328}","{""chez ali"": 0.0714, ""el mouradi"": 0.0714, ""dar el-andalous"": 0.0714, ""le jardin de carthage"": 0.1429, ""café des arts"": 0.1429, ""dar el khemis"": 0.0714, ""dar el jeld"": 0.2857, ""souk el attarine"": 0.0714, ""le jardin"": 0.2143, ""la terrasse"": 0.0714, ""restaurant le cap"": 0.0714, ""le mirage"": 0.0714, ""café de france"": 0.1429, ""le jardin de marsa"": 0.0714, ""le jardin des sens"": 0.1429, ""la table de la marsa"": 0.0714, ""la kasbah"": 0.0714, ""café des nattes"": 0.0714, ""la table de sousse"": 0.0714, ""le bistrot du port"": 0.0714, ""le bistrot de la mer"": 0.0714, ""la table du marché"": 0.0714, ""la maison de la mer"": 0.0714, ""chez sami"": 0.0714, ""le phare"": 0.0714, ""le jardin de la mer"": 0.1429, ""le corail"": 0.0714, ""la gourmandine"": 0.0714, ""la maison du pain"": 0.0714, ""le ciel"": 0.0714, ""dar kalthoum"": 0.0714, ""le clos de sousse"": 0.0714, ""le jardin de l'atlas"": 0.0714, ""le jardin des oliviers"": 0.0714, ""la maison de la photographie"": 0.0714, ""le soummam"": 0.0714, ""dar essouk"": 0.0714, ""café de paris"": 0.0714}","False","partial","3.9","342.0","5 Rue Omar Ibn Abi Rabiaa, Site archéologique de Carthage 2070, Tunisia","+216 51 427 427","https://lamaison-restaurant.com/","Restaurant","","","","","False","","","","","","","","","","","","","0.5","2026-04-17T13:31:51.187731","True","True","True","False","False","False","False","2","342","True","","","0.5","partial","",""
